Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago,user
0.0,Fri Sep 28 20:16:14 +0000 2018,1.0,0.0,0.0,1045769173161234432,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",2,@CBS
0.0,Fri Sep 28 17:52:41 +0000 2018,1.0,0.0,0.0,1045733044580012037,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",3,@CBS
0.0,Fri Sep 28 16:51:50 +0000 2018,1.0,0.0,0.0,1045717730119172096,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",4,@CBS
0.0,Thu Sep 27 20:19:18 +0000 2018,1.0,0.0,0.0,1045407553268510720,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,5,@CBS
0.0,Thu Sep 27 20:01:53 +0000 2018,1.0,0.0,0.0,1045403172783583232,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,6,@CBS
0.0,Thu Sep 27 17:19:16 +0000 2018,1.0,0.0,0.0,1045362247034318854,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",7,@CBS
-0.34,Thu Sep 27 16:58:08 +0000 2018,0.581,0.25,0.169,1045356927859929088,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,8,@CBS
0.0,Thu Sep 27 00:44:13 +0000 2018,1.0,0.0,0.0,1045111837421760512,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,9,@CBS
0.0,Thu Sep 27 00:42:15 +0000 2018,1.0,0.0,0.0,1045111341697064960,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,10,@CBS
0.1139,Wed Sep 26 21:49:27 +0000 2018,0.929,0.0,0.071,1045067855081791488,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,11,@CBS
